pixel_id,date,qa_mode,method,albedo,glacier_fraction,ndsi,solar_zenith,elevation,slope,aspect,longitude,latitude,tile_h,tile_v,pixel_row,pixel_col,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
9073025950,2015-06-09,renoriginal,MOD09GA,0.2369141038,0.9692,0.593026579,29.25,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.275,0.2312,0.2802,0.2787,0.0966,0.0712,0.0574
9075025945,2015-06-09,renoriginal,MOD09GA,0.2139650788,0.6586666667,0.7059009151,29.24,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.2616,0.209,0.2692,0.2703,0.0737,0.0466,0.0308
9073025950,2015-06-10,renoriginal,MOD09GA,0.2447344324,0.9692,0.6569459173,30.98,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.3005,0.2356,0.296,0.3125,0.0891,0.0647,0.0591
9075025945,2015-06-15,renoriginal,MOD09GA,0.4331840187,0.6586666667,0.9169668897,29.73,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.548,0.4572,0.5359,0.5587,0.0965,0.0242,0.012
9075025945,2015-06-20,renoriginal,MOD09GA,0.2518262948,0.6586666667,0.690601608,29.01,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.2927,0.2534,0.3088,0.3049,0.111,0.0558,0.0391
9073025950,2015-06-22,renoriginal,MOD09GA,0.2507216525,0.9692,0.7419532325,29.42,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2998,0.2323,0.3122,0.3166,0.065,0.0469,0.0356
9075025945,2015-06-23,renoriginal,MOD09GA,0.2432341888,0.6586666667,0.4257217848,28.83,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.2688,0.2365,0.2932,0.2716,0.1364,0.1094,0.1029
9073025950,2015-06-26,renoriginal,MOD09GA,0.1858720948,0.9692,0.4971715902,30.88,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2225,0.1693,0.223,0.2382,0.0791,0.08,0.0662
9075025945,2015-06-26,renoriginal,MOD09GA,0.2959353004,0.6586666667,0.9063749706,30.88,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.3908,0.285,0.3801,0.4052,0.0544,0.0199,0.016
9073025950,2015-06-28,renoriginal,MOD09GA,0.2042908566,0.9692,0.608040201,31.9,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2678,0.1973,0.2678,0.288,0.0793,0.0702,0.0606
9075025945,2015-06-28,renoriginal,MOD09GA,0.2359462538,0.6586666667,0.7593138569,31.9,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.3055,0.2256,0.3037,0.3282,0.0734,0.0449,0.0343
9073025950,2015-07-04,renoriginal,MOD09GA,0.1990016315,0.9692,0.1837023081,35.91,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2629,0.2526,0.2167,0.2513,0.1737,0.1733,0.1469
9073025950,2015-07-05,renoriginal,MOD09GA,0.2341883036,0.9692,0.6311111111,31.99,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2913,0.2456,0.2775,0.2936,0.097,0.0664,0.0559
9073025950,2015-07-07,renoriginal,MOD09GA,0.2130146892,0.9692,0.6993500989,33.2,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2972,0.2433,0.2704,0.3007,0.0811,0.0532,0.0418
9075025945,2015-07-07,renoriginal,MOD09GA,0.2409810635,0.6586666667,0.6476821192,33.2,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.3073,0.2598,0.2886,0.311,0.1016,0.0665,0.0466
9073025950,2015-07-08,renoriginal,MOD09GA,0.2225407723,0.9692,0.7547961631,30.51,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2743,0.19,0.2811,0.2927,0.0567,0.0409,0.0267
9075025945,2015-07-09,renoriginal,MOD09GA,0.13843372,0.6586666667,0.5399239544,29.91,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.1631,0.134,0.1683,0.162,0.0655,0.0484,0.0396
9073025950,2015-07-10,renoriginal,MOD09GA,0.2147229553,0.9692,0.6314014106,31.37,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.25,0.1952,0.2537,0.266,0.0769,0.0601,0.0486
9075025945,2015-07-10,renoriginal,MOD09GA,0.2434534702,0.6586666667,0.7628222524,31.37,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.3051,0.2314,0.3078,0.3248,0.071,0.0437,0.0244
9073025950,2015-07-11,renoriginal,MOD09GA,0.08527827676,0.9692,-0.1098191214,30.15,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.0919,0.1066,0.0529,0.0689,0.0797,0.0859,0.0708
9073025950,2015-07-14,renoriginal,MOD09GA,0.2226937229,0.9692,0.6326969615,33.62,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2911,0.2144,0.2939,0.3036,0.0836,0.0683,0.0542
9075025945,2015-07-16,renoriginal,MOD09GA,0.4452542359,0.6586666667,0.656472042,34.98,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.5293,0.4904,0.5162,0.5362,0.2829,0.1112,0.0688
9075025945,2015-07-20,renoriginal,MOD09GA,0.04424581477,0.6586666667,0.1013110846,31.68,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.0699,0.069,0.0197,0.0462,0.0279,0.0377,0.0368
9073025950,2015-07-30,renoriginal,MOD09GA,0.2245264181,0.9692,0.6858922285,36.67,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2966,0.2282,0.2847,0.3113,0.08,0.058,0.0455
9073025950,2015-07-31,renoriginal,MOD09GA,0.2192171584,0.9692,0.7336258226,34.52,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2634,0.1918,0.2652,0.2766,0.0589,0.0425,0.0178
9075025945,2015-07-31,renoriginal,MOD09GA,0.1775613185,0.6586666667,0.7009413469,34.52,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.2127,0.1559,0.2285,0.2349,0.0533,0.0413,0.0299
9073025950,2015-08-01,renoriginal,MOD09GA,0.1862288612,0.9692,0.6410550459,38.13,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2771,0.2099,0.2634,0.2862,0.0808,0.0626,0.0566
9075025945,2015-08-02,renoriginal,MOD09GA,0.3799929716,0.6586666667,0.3268702537,35.51,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.4067,0.3772,0.4123,0.4106,0.2623,0.2083,0.1504
9073025950,2015-08-05,renoriginal,MOD09GA,0.2267614606,0.9692,0.362150056,41.38,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.3097,0.2757,0.2847,0.3041,0.212,0.1424,0.1111
9073025950,2015-08-08,renoriginal,MOD09GA,0.2056031125,0.9692,0.6147859922,39.34,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.286,0.2162,0.2724,0.2905,0.0903,0.0693,0.0564
9073025950,2015-08-09,renoriginal,MOD09GA,0.1417697016,0.9692,0.3137651822,37.1,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.1237,0.1076,0.1312,0.1298,0.067,0.0678,0.0591
9073025950,2015-08-11,renoriginal,MOD09GA,0.2663789449,0.9692,0.7841269841,38.2,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.3192,0.2127,0.3247,0.3372,0.0784,0.0408,0.0294
9073025950,2015-08-12,renoriginal,MOD09GA,0.09041940104,0.9692,0.1479435236,37.34,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.104,0.0966,0.0679,0.0935,0.0598,0.0694,0.0571
